Respondent,JobSat,MgrIdiot,MgrMoney,MgrWant
1327,NA,NA,NA,NA
1328,Slightly dissatisfied,Not at all confident,No,No
1329,Slightly satisfied,Very confident,Yes,No
1330,Slightly satisfied,Very confident,No,Not sure
1331,Very satisfied,Very confident,Not sure,Not sure
1332,Slightly dissatisfied,Very confident,Yes,Yes
1333,Slightly satisfied,Not at all confident,No,No
1334,Very satisfied,NA,NA,NA
1335,Neither satisfied nor dissatisfied,Somewhat confident,No,No
1336,Very satisfied,Very confident,No,No
1337,Slightly satisfied,Very confident,Not sure,Not sure
1338,Very satisfied,Very confident,Not sure,Yes
1339,Very satisfied,NA,NA,NA
1340,NA,NA,NA,NA
1341,Very satisfied,Very confident,No,No
1342,NA,NA,NA,NA
1343,Very satisfied,Very confident,No,Not sure
1344,NA,NA,NA,NA
1345,Neither satisfied nor dissatisfied,Very confident,No,Not sure
1346,Very satisfied,Very confident,No,Not sure
1347,Slightly satisfied,Somewhat confident,No,Yes
1348,Slightly satisfied,Somewhat confident,No,Not sure
1349,Slightly satisfied,Not at all confident,Yes,Yes
1350,Slightly satisfied,Very confident,Not sure,Yes
1351,Very satisfied,Somewhat confident,Not sure,No
1353,NA,Very confident,No,No
1354,Very satisfied,NA,NA,NA
1355,Slightly satisfied,Somewhat confident,Yes,Yes
1356,Slightly satisfied,Very confident,No,Not sure
1357,Slightly satisfied,NA,NA,NA
1358,Very dissatisfied,Not at all confident,No,No
1359,Slightly satisfied,Somewhat confident,Yes,Yes
1360,NA,NA,NA,NA
1361,Slightly satisfied,Very confident,Not sure,Yes
1362,Slightly satisfied,Very confident,No,Not sure
1363,Very satisfied,Very confident,No,Not sure
1364,Neither satisfied nor dissatisfied,Not at all confident,No,No
1365,Very satisfied,Very confident,Not sure,No
1366,Slightly satisfied,Not at all confident,No,Yes
1367,Slightly dissatisfied,Not at all confident,Yes,Not sure
1368,NA,Very confident,No,Yes
1369,Slightly dissatisfied,Somewhat confident,Not sure,No
1370,Neither satisfied nor dissatisfied,Not at all confident,No,No
1371,Neither satisfied nor dissatisfied,Very confident,No,No
1372,Slightly satisfied,Somewhat confident,Yes,Not sure
1373,Slightly dissatisfied,Somewhat confident,Yes,No
1374,NA,NA,NA,NA
1375,Slightly satisfied,Somewhat confident,No,No
1376,Slightly satisfied,Somewhat confident,Yes,Yes
1377,Very satisfied,NA,NA,NA
1378,Very satisfied,NA,NA,NA
1379,Slightly satisfied,Very confident,Not sure,Not sure
1380,NA,NA,NA,NA
1381,Slightly dissatisfied,Somewhat confident,No,Not sure
1382,Very satisfied,Somewhat confident,No,Yes
1383,Neither satisfied nor dissatisfied,NA,NA,NA
1384,NA,NA,NA,NA
1385,Slightly satisfied,Not at all confident,No,No
1386,Slightly satisfied,NA,NA,NA
1387,Very satisfied,Not at all confident,No,No
1388,Very satisfied,I don't have a manager,No,No
1389,NA,NA,NA,NA
1390,Slightly satisfied,Very confident,No,No
1391,Neither satisfied nor dissatisfied,NA,NA,NA
1392,Very dissatisfied,Somewhat confident,No,Not sure
1393,Very satisfied,Very confident,Yes,Yes
1394,Very satisfied,Very confident,Yes,Yes
1395,Slightly satisfied,Somewhat confident,Yes,Yes
1396,Very satisfied,NA,NA,NA
1397,Neither satisfied nor dissatisfied,Not at all confident,Yes,Not sure
1398,Very satisfied,NA,NA,NA
1399,NA,NA,NA,NA
1400,Slightly satisfied,NA,NA,NA
1401,NA,NA,NA,NA
1402,Very dissatisfied,Very confident,Yes,Not sure
1403,Neither satisfied nor dissatisfied,Somewhat confident,No,No
1404,Slightly satisfied,Somewhat confident,Yes,Yes
1405,Neither satisfied nor dissatisfied,Somewhat confident,Yes,Yes
1406,NA,NA,NA,NA
1407,NA,NA,NA,NA
1408,Very satisfied,Somewhat confident,No,No
1409,Slightly satisfied,Very confident,No,Not sure
1410,Slightly satisfied,Somewhat confident,Yes,No
1411,Very satisfied,NA,NA,NA
1412,Slightly satisfied,Not at all confident,No,No
1413,Slightly satisfied,Very confident,No,Not sure
1414,NA,NA,NA,NA
1415,Very satisfied,Very confident,Yes,Yes
1416,Slightly satisfied,Somewhat confident,Yes,Yes
1417,NA,NA,NA,NA
1418,Slightly satisfied,Very confident,Not sure,Yes
1419,Neither satisfied nor dissatisfied,Somewhat confident,No,Not sure
1420,NA,NA,NA,NA
1421,Very dissatisfied,Very confident,No,No
1422,Very satisfied,Somewhat confident,Yes,Not sure
1423,Slightly satisfied,Not at all confident,No,No
1424,NA,NA,NA,NA
1425,Slightly satisfied,Not at all confident,No,Not sure
1426,Very satisfied,Somewhat confident,Not sure,Yes
1427,Neither satisfied nor dissatisfied,NA,NA,NA
1428,Very satisfied,NA,NA,NA
1429,Very satisfied,Very confident,Not sure,Not sure
1430,Very satisfied,Very confident,No,No
1431,Very satisfied,Somewhat confident,No,No
1432,Very satisfied,Very confident,No,No
1433,Neither satisfied nor dissatisfied,Very confident,No,Yes
1434,NA,NA,NA,NA
1435,Slightly dissatisfied,NA,NA,NA
1436,Slightly dissatisfied,Somewhat confident,Yes,Not sure
1437,Neither satisfied nor dissatisfied,Somewhat confident,Not sure,Yes
1438,Slightly dissatisfied,Somewhat confident,No,Yes
1439,Slightly dissatisfied,Somewhat confident,Yes,Not sure
1440,NA,NA,NA,NA
1441,Very dissatisfied,Very confident,No,No
1442,Slightly satisfied,NA,NA,NA
1443,Neither satisfied nor dissatisfied,Not at all confident,No,Not sure
1444,Neither satisfied nor dissatisfied,NA,NA,NA
1445,Very dissatisfied,Somewhat confident,No,No
1446,Slightly satisfied,NA,NA,NA
1447,Very dissatisfied,NA,NA,NA
1448,NA,NA,NA,NA
1449,NA,NA,NA,NA
1450,Very satisfied,Very confident,No,Not sure
1451,Slightly satisfied,Somewhat confident,Yes,Yes
1452,Very satisfied,Very confident,No,No
1453,Very satisfied,NA,NA,NA
1454,Slightly satisfied,Somewhat confident,Yes,Yes
1455,Slightly satisfied,Not at all confident,Not sure,Not sure
1456,Slightly satisfied,Very confident,Yes,Not sure
1457,Slightly dissatisfied,Very confident,No,No
1458,Slightly satisfied,NA,NA,NA
1459,Slightly dissatisfied,Somewhat confident,Yes,No
1460,Slightly satisfied,Very confident,Not sure,Not sure
1461,Neither satisfied nor dissatisfied,Somewhat confident,No,Not sure
1462,Very satisfied,Very confident,No,No
1463,Very satisfied,NA,NA,NA
1464,NA,NA,NA,NA
1465,Slightly dissatisfied,NA,NA,NA
1466,Slightly satisfied,Somewhat confident,Not sure,Yes
1467,Neither satisfied nor dissatisfied,NA,NA,NA
1468,Neither satisfied nor dissatisfied,Not at all confident,No,No
1469,Slightly satisfied,I don't have a manager,No,No
1470,Slightly satisfied,Somewhat confident,Yes,Yes
1471,Very satisfied,NA,NA,NA
1472,Slightly satisfied,Somewhat confident,No,No
1473,Slightly satisfied,Very confident,Yes,Yes
1474,Very satisfied,Very confident,No,Not sure
1475,Slightly satisfied,Somewhat confident,No,No
1476,Slightly satisfied,Somewhat confident,No,No
1477,Slightly satisfied,Somewhat confident,Yes,No
1478,Very satisfied,NA,NA,NA
1479,NA,NA,NA,NA
1480,Very dissatisfied,NA,NA,NA
1481,Very dissatisfied,Not at all confident,Yes,Yes
1482,Slightly dissatisfied,Somewhat confident,No,No
1483,NA,NA,NA,NA
1484,Very dissatisfied,Somewhat confident,No,Not sure
1485,Slightly satisfied,Somewhat confident,Not sure,Not sure
1486,Slightly satisfied,I don't have a manager,No,Not sure
1487,Slightly satisfied,Somewhat confident,No,No
1488,Slightly dissatisfied,Somewhat confident,Not sure,Not sure
1489,Very satisfied,Very confident,No,Yes
1490,Slightly dissatisfied,Not at all confident,Yes,Yes
1491,Very dissatisfied,Somewhat confident,No,Yes
1492,Slightly satisfied,Very confident,No,Not sure
1493,Very satisfied,Somewhat confident,Not sure,Not sure
1494,Very satisfied,Very confident,No,Not sure
1495,Very satisfied,Somewhat confident,Not sure,Yes
1496,Slightly satisfied,NA,NA,NA
1497,Neither satisfied nor dissatisfied,Very confident,No,Yes
1498,Very satisfied,Somewhat confident,Yes,Not sure
1499,Very satisfied,Very confident,Not sure,No
1500,Slightly dissatisfied,Somewhat confident,Yes,Yes
1501,Very dissatisfied,Not at all confident,Not sure,Yes
1502,Very satisfied,NA,NA,NA
1503,Very satisfied,Very confident,No,Not sure
1504,NA,NA,NA,NA
1505,Slightly satisfied,Very confident,Not sure,Not sure
1506,NA,NA,NA,NA
1507,Very dissatisfied,Somewhat confident,Yes,Yes
1508,NA,NA,NA,NA
1509,Very satisfied,Somewhat confident,Not sure,I am already a manager
1510,NA,NA,NA,NA
1511,Slightly satisfied,Somewhat confident,Not sure,Not sure
1512,Neither satisfied nor dissatisfied,Not at all confident,No,No
1513,Slightly satisfied,NA,NA,NA
1514,Very satisfied,Somewhat confident,No,No
1515,Slightly satisfied,NA,NA,NA
1516,Very satisfied,Very confident,Yes,No
1517,Slightly satisfied,Somewhat confident,Not sure,No
1518,Neither satisfied nor dissatisfied,Somewhat confident,No,No
1519,Very satisfied,NA,NA,NA
1520,Slightly satisfied,Somewhat confident,Not sure,No
1521,Slightly dissatisfied,Very confident,No,Not sure
1522,Slightly satisfied,Very confident,Yes,Not sure
1523,Very satisfied,Very confident,No,Not sure
1524,Very dissatisfied,Very confident,Not sure,Yes
1525,Slightly satisfied,Somewhat confident,No,Yes
1526,Slightly dissatisfied,Very confident,No,Not sure
1527,NA,NA,NA,NA
1528,NA,NA,NA,NA
1529,Slightly dissatisfied,Somewhat confident,No,No
1530,Slightly satisfied,I don't have a manager,Not sure,Not sure
1531,Very dissatisfied,Not at all confident,No,No
1532,Very dissatisfied,Somewhat confident,Yes,No
1533,Slightly satisfied,Very confident,Not sure,Not sure
1534,Slightly satisfied,Not at all confident,Yes,Yes
1535,Slightly dissatisfied,Somewhat confident,Yes,Yes
1536,Slightly satisfied,Very confident,Not sure,Yes
1537,NA,Somewhat confident,No,No
1538,Slightly satisfied,Very confident,No,No
1539,NA,NA,NA,NA
1540,Very satisfied,Very confident,Not sure,Not sure
1541,Slightly satisfied,Somewhat confident,Yes,I am already a manager
1542,Very satisfied,NA,NA,NA
1543,Slightly satisfied,Very confident,Not sure,Yes
1544,Very dissatisfied,Not at all confident,No,Yes
1545,Slightly satisfied,Not at all confident,No,No
1546,Slightly satisfied,Somewhat confident,No,No
1547,Slightly satisfied,I don't have a manager,No,I am already a manager
1548,Slightly dissatisfied,Somewhat confident,Yes,No
1549,Slightly satisfied,NA,NA,NA
1550,NA,NA,NA,NA
1551,Slightly satisfied,NA,NA,NA
1552,Very satisfied,NA,NA,NA
1553,Slightly satisfied,Somewhat confident,Not sure,Not sure
1554,NA,NA,NA,NA
1555,NA,NA,NA,NA
1556,Very satisfied,NA,NA,NA
1557,Slightly satisfied,Somewhat confident,No,No
1558,Slightly satisfied,Somewhat confident,No,No
1559,Slightly dissatisfied,Not at all confident,Not sure,No
1560,Very satisfied,Very confident,No,No
1561,Slightly satisfied,Very confident,No,No
1562,Neither satisfied nor dissatisfied,I don't have a manager,No,No
1563,Very satisfied,Somewhat confident,No,No
1564,Slightly satisfied,Somewhat confident,No,Not sure
1565,Slightly dissatisfied,Very confident,Yes,Yes
1566,NA,NA,NA,NA
1567,Very satisfied,Very confident,Not sure,Not sure
1568,Slightly dissatisfied,NA,NA,NA
1569,Very satisfied,Very confident,No,No
1570,NA,NA,NA,NA
1571,Slightly dissatisfied,Somewhat confident,No,Yes
1572,Very satisfied,Very confident,Yes,Yes
1573,Slightly satisfied,Very confident,No,Yes
1574,NA,NA,NA,NA
1575,NA,NA,NA,NA
1576,Neither satisfied nor dissatisfied,Somewhat confident,No,No
1577,NA,NA,NA,NA
1578,Neither satisfied nor dissatisfied,Very confident,Yes,Yes
1579,Slightly satisfied,Somewhat confident,Not sure,No
1580,Very satisfied,Very confident,No,No
1581,NA,NA,NA,NA
1582,Slightly satisfied,NA,NA,NA
1583,NA,NA,NA,NA
1584,Slightly dissatisfied,Somewhat confident,No,Yes
1585,NA,NA,NA,NA
1586,NA,NA,NA,NA
1587,Very satisfied,Very confident,Not sure,Not sure
1588,Slightly dissatisfied,Not at all confident,Yes,I am already a manager
1589,Slightly satisfied,Somewhat confident,No,No
1590,Slightly satisfied,Somewhat confident,Not sure,Not sure
1591,Very satisfied,Very confident,No,No
1592,Very satisfied,Very confident,Yes,Yes
1593,Very satisfied,Somewhat confident,No,Not sure
1594,Neither satisfied nor dissatisfied,Somewhat confident,Yes,Yes
1595,NA,NA,NA,NA
1596,Very satisfied,NA,NA,NA
1597,Very dissatisfied,NA,NA,NA
1598,Very satisfied,Somewhat confident,No,Not sure
1599,Very satisfied,NA,NA,NA
1600,Slightly satisfied,Very confident,Not sure,I am already a manager
1601,Very satisfied,NA,NA,NA
1602,Slightly satisfied,Somewhat confident,Not sure,Not sure
1603,Very satisfied,NA,NA,NA
1604,Neither satisfied nor dissatisfied,Not at all confident,No,No
1605,Very satisfied,Not at all confident,No,No
1606,Very satisfied,Somewhat confident,No,No
1607,Neither satisfied nor dissatisfied,NA,NA,NA
1608,Slightly satisfied,NA,NA,NA
1609,Slightly satisfied,Somewhat confident,Yes,No
1610,Slightly satisfied,Somewhat confident,No,I am already a manager
1611,NA,NA,NA,NA
1612,Slightly dissatisfied,Somewhat confident,No,Not sure
1613,Slightly satisfied,Somewhat confident,Yes,Not sure
1614,Very satisfied,Very confident,Not sure,Not sure
1615,Slightly satisfied,Not at all confident,Not sure,Not sure
1616,Very satisfied,Somewhat confident,No,No
1617,Slightly dissatisfied,Very confident,No,No
1618,Neither satisfied nor dissatisfied,Somewhat confident,Not sure,Not sure
1619,Very satisfied,Somewhat confident,No,Yes
1620,Slightly satisfied,Not at all confident,Yes,No
1621,NA,NA,NA,NA
1622,Very satisfied,Very confident,No,No
1623,Slightly dissatisfied,Not at all confident,Yes,No
1624,Slightly satisfied,Very confident,Not sure,No
1625,Very satisfied,Somewhat confident,Not sure,Not sure
1626,Slightly dissatisfied,Somewhat confident,No,No
1627,Very satisfied,Somewhat confident,Not sure,I am already a manager
1628,Slightly satisfied,Very confident,Not sure,No
1629,Slightly satisfied,Very confident,Not sure,No
1630,Very satisfied,Somewhat confident,No,Not sure
1631,NA,NA,NA,NA
1632,Neither satisfied nor dissatisfied,Somewhat confident,Yes,No
1633,Very dissatisfied,NA,NA,NA
1634,NA,NA,NA,NA
1635,Very dissatisfied,Not at all confident,No,No
1636,Very satisfied,Very confident,No,No
1637,NA,NA,NA,NA
1638,Slightly dissatisfied,I don't have a manager,Yes,Not sure
1639,Slightly satisfied,Very confident,Yes,No
1640,NA,NA,NA,NA
1641,Very satisfied,Somewhat confident,Not sure,Not sure
1642,Slightly satisfied,Very confident,Yes,Yes
1643,Slightly satisfied,Very confident,Yes,Not sure
1644,Slightly satisfied,Somewhat confident,Not sure,No
1645,NA,NA,NA,NA
1646,NA,NA,NA,NA
1647,Very satisfied,Very confident,No,Not sure
1648,Neither satisfied nor dissatisfied,Very confident,No,Not sure
1649,NA,Very confident,Yes,Yes
1650,Very satisfied,Very confident,No,Not sure
1651,Neither satisfied nor dissatisfied,Very confident,Yes,Yes
1652,Very satisfied,Very confident,Not sure,No
1653,Neither satisfied nor dissatisfied,NA,NA,NA
1654,Slightly satisfied,Somewhat confident,No,No
1655,Neither satisfied nor dissatisfied,Not at all confident,No,No
1656,NA,NA,NA,NA
1657,Very satisfied,Somewhat confident,Yes,Not sure
1658,Slightly satisfied,Very confident,No,No
1659,Very satisfied,NA,NA,NA
1660,NA,NA,NA,NA
1661,NA,Somewhat confident,No,No
1662,Very satisfied,Somewhat confident,No,Not sure
1663,NA,NA,NA,NA
1664,Slightly dissatisfied,Not at all confident,No,Not sure
1665,Very satisfied,NA,NA,NA
1666,Neither satisfied nor dissatisfied,Very confident,Not sure,No
1667,Neither satisfied nor dissatisfied,I don't have a manager,No,No
1668,Very satisfied,I don't have a manager,Not sure,Not sure
1669,NA,NA,NA,NA
1670,Neither satisfied nor dissatisfied,NA,NA,NA
1671,Slightly dissatisfied,NA,NA,NA
1672,Slightly satisfied,Very confident,No,Yes
1673,Neither satisfied nor dissatisfied,Very confident,No,No
1674,Slightly satisfied,NA,NA,NA
1675,Very satisfied,Very confident,Yes,Yes
1676,Neither satisfied nor dissatisfied,Very confident,Not sure,Not sure
1677,Slightly satisfied,Somewhat confident,No,Not sure
1678,Very satisfied,Somewhat confident,Yes,No
1679,Slightly satisfied,Very confident,No,No
1680,Very satisfied,Somewhat confident,No,No
1681,Neither satisfied nor dissatisfied,Very confident,Yes,Yes
1682,Very satisfied,Very confident,No,Not sure
1683,Very satisfied,Very confident,Not sure,No
1684,Very satisfied,NA,NA,NA
1685,Neither satisfied nor dissatisfied,NA,NA,NA
1686,NA,NA,NA,NA
1687,NA,NA,NA,NA
1688,NA,NA,NA,NA
1689,Slightly satisfied,Very confident,No,No
1690,Slightly satisfied,Somewhat confident,Not sure,No
1691,NA,NA,NA,NA
1692,Very satisfied,Somewhat confident,No,No
1693,Very satisfied,Very confident,No,Not sure
1694,Slightly dissatisfied,NA,NA,NA
1695,Slightly dissatisfied,Not at all confident,No,No
1696,Slightly dissatisfied,Not at all confident,Not sure,Yes
1697,Very satisfied,Very confident,No,Not sure
1698,NA,NA,NA,NA
1699,Slightly satisfied,I don't have a manager,No,No
1700,NA,NA,NA,NA
1701,Very satisfied,NA,NA,NA
1702,NA,NA,NA,NA
1703,Slightly dissatisfied,Not at all confident,Not sure,Not sure
1704,NA,NA,NA,NA
1705,NA,NA,NA,NA
1706,Very satisfied,Very confident,No,Not sure
1707,NA,Not at all confident,No,Not sure
1708,Very satisfied,Somewhat confident,No,No
1709,Slightly dissatisfied,Not at all confident,Not sure,Not sure
1710,Slightly satisfied,Very confident,No,No
1711,Very satisfied,Very confident,No,No
1712,Slightly dissatisfied,Not at all confident,No,No
1713,Slightly dissatisfied,Very confident,No,Not sure
1714,Slightly satisfied,Very confident,No,Not sure
1715,Very satisfied,NA,NA,NA
1716,Very satisfied,Very confident,No,Yes
1717,NA,NA,NA,NA
1718,Slightly satisfied,Very confident,Yes,Yes
1719,Slightly dissatisfied,Somewhat confident,Yes,Yes
1720,Very satisfied,Very confident,No,Not sure
1721,Slightly satisfied,I don't have a manager,No,I am already a manager
1722,NA,NA,NA,NA
1723,Very dissatisfied,Somewhat confident,Yes,Not sure
1724,Slightly satisfied,Very confident,Yes,No
1725,NA,NA,No,NA
1726,Slightly satisfied,NA,NA,NA
1727,Slightly satisfied,Not at all confident,Yes,Not sure
1728,Neither satisfied nor dissatisfied,NA,NA,NA
1729,NA,NA,NA,NA
1730,Very satisfied,Somewhat confident,No,I am already a manager
1731,Slightly satisfied,Somewhat confident,No,No
1732,Slightly satisfied,Somewhat confident,Not sure,Yes
1733,Very satisfied,Somewhat confident,No,Not sure
1734,NA,NA,NA,NA
1735,Slightly dissatisfied,NA,NA,NA
1736,Very satisfied,NA,NA,NA
1737,Slightly dissatisfied,Very confident,No,No
1738,NA,NA,NA,NA
1739,Slightly dissatisfied,Very confident,Not sure,Yes
1740,Slightly satisfied,Very confident,Yes,Yes
1741,Slightly dissatisfied,Somewhat confident,No,No
1742,Very satisfied,Very confident,Yes,Yes
1743,Very dissatisfied,Somewhat confident,No,No
1744,Very satisfied,Very confident,No,No
1745,Slightly satisfied,NA,No,Not sure
1746,NA,Very confident,Not sure,No
1748,Slightly dissatisfied,NA,NA,NA
1749,Slightly dissatisfied,Somewhat confident,Yes,Not sure
1750,Slightly satisfied,NA,NA,NA
1751,Very satisfied,Very confident,No,No
1752,Very satisfied,Very confident,No,Yes
1753,Slightly satisfied,Somewhat confident,Not sure,Not sure
1754,Very satisfied,Very confident,Not sure,Not sure
1755,Neither satisfied nor dissatisfied,Somewhat confident,Yes,Not sure
1756,Slightly satisfied,Very confident,Yes,Not sure
1757,NA,NA,NA,NA
1758,Very dissatisfied,Very confident,No,Not sure
1759,Very satisfied,Very confident,Not sure,Not sure
1760,Very dissatisfied,Somewhat confident,Yes,Yes
1761,Slightly dissatisfied,Somewhat confident,No,No
1762,NA,NA,NA,NA
1763,Very satisfied,Very confident,No,Yes
1764,Slightly satisfied,Somewhat confident,Not sure,No
1765,Slightly satisfied,NA,NA,NA
1766,Very satisfied,I don't have a manager,No,No
1767,Very satisfied,Very confident,No,Not sure
1768,Very satisfied,Somewhat confident,No,No
1769,Slightly satisfied,Somewhat confident,Not sure,Not sure
1770,Very dissatisfied,Very confident,No,Not sure
1771,Slightly satisfied,NA,NA,NA
1772,Very satisfied,I don't have a manager,No,No
1773,NA,NA,NA,NA
1774,Slightly satisfied,Very confident,No,Yes
1775,Very satisfied,NA,NA,NA
1776,Very satisfied,NA,NA,NA
1777,Slightly satisfied,Not at all confident,No,Not sure
1778,Very satisfied,Very confident,Yes,Not sure
1779,Very satisfied,Somewhat confident,Not sure,Yes
1780,Very dissatisfied,NA,NA,NA
1781,Slightly dissatisfied,Not at all confident,No,No
1782,Very dissatisfied,Not at all confident,Yes,Not sure
1783,Slightly satisfied,Not at all confident,No,Yes
1784,Very satisfied,Very confident,Yes,Not sure
1785,Slightly satisfied,Very confident,Not sure,No
1786,NA,NA,NA,NA
1787,Slightly satisfied,Somewhat confident,No,Not sure
1788,NA,NA,NA,NA
1789,Very satisfied,Somewhat confident,No,No
1790,Slightly satisfied,Not at all confident,Not sure,Not sure
1791,Very dissatisfied,NA,NA,NA
1792,Slightly satisfied,Somewhat confident,Yes,Not sure
1793,Very satisfied,Very confident,No,Not sure
1794,Neither satisfied nor dissatisfied,Not at all confident,No,Not sure
1795,NA,Somewhat confident,No,Yes
1796,Neither satisfied nor dissatisfied,Somewhat confident,Yes,Yes
1797,Very dissatisfied,Not at all confident,Yes,Not sure
1798,Very dissatisfied,Very confident,Not sure,No
1799,Very satisfied,Not at all confident,Not sure,No
1800,Slightly satisfied,Very confident,No,No
1801,Very satisfied,Somewhat confident,No,No
1802,Very satisfied,I don't have a manager,No,No
1803,Very satisfied,Somewhat confident,No,Not sure
1804,Neither satisfied nor dissatisfied,NA,NA,NA
1805,Very satisfied,Somewhat confident,Yes,No
1806,NA,NA,NA,NA
1807,Very satisfied,Very confident,No,No
1808,Neither satisfied nor dissatisfied,I don't have a manager,Not sure,Not sure
1809,Slightly satisfied,Very confident,No,No
1810,Very satisfied,Very confident,No,No
1811,Slightly satisfied,Not at all confident,No,No
1812,Very satisfied,Very confident,No,No
1813,Very satisfied,Somewhat confident,Yes,I am already a manager
1814,Neither satisfied nor dissatisfied,NA,NA,NA
1815,Neither satisfied nor dissatisfied,Somewhat confident,No,Yes
1816,Very satisfied,Very confident,Not sure,Not sure
1817,Slightly satisfied,Somewhat confident,Not sure,No
1818,NA,NA,NA,NA
1819,Very satisfied,Somewhat confident,No,Not sure
1820,Very satisfied,Not at all confident,No,No
1821,Neither satisfied nor dissatisfied,Not at all confident,Yes,Not sure
1822,Very satisfied,Somewhat confident,No,Yes
1823,Very satisfied,Very confident,No,No
1824,Slightly satisfied,Somewhat confident,No,No
1825,Slightly satisfied,Very confident,Not sure,No
1826,Slightly satisfied,Somewhat confident,Not sure,Not sure
1827,Neither satisfied nor dissatisfied,Very confident,No,No
1828,NA,NA,NA,NA
1829,Very satisfied,NA,NA,NA
1830,Slightly satisfied,I don't have a manager,Not sure,I am already a manager
1831,Slightly dissatisfied,Somewhat confident,Not sure,Yes
1832,Slightly satisfied,Somewhat confident,No,No
1833,Slightly satisfied,Somewhat confident,Yes,No
1834,Slightly satisfied,Very confident,No,I am already a manager
1835,Very dissatisfied,Not at all confident,No,Not sure
1836,Very satisfied,Somewhat confident,Not sure,No
1837,Slightly satisfied,Not at all confident,No,Not sure
1838,Slightly satisfied,NA,NA,NA
1839,Very satisfied,Very confident,Yes,No
1840,Slightly satisfied,NA,NA,NA
1841,Slightly dissatisfied,Somewhat confident,No,Yes
1842,Very dissatisfied,NA,NA,NA
1843,Very satisfied,Somewhat confident,Not sure,Not sure
1844,Very satisfied,Somewhat confident,Not sure,Not sure
1845,Neither satisfied nor dissatisfied,Not at all confident,No,No
1846,Slightly satisfied,Very confident,Not sure,Yes
1847,Slightly satisfied,Somewhat confident,Yes,Yes
1848,Slightly satisfied,NA,NA,NA
1849,Very satisfied,Somewhat confident,No,Not sure
1850,Slightly satisfied,Somewhat confident,Not sure,Yes
1851,Slightly satisfied,Somewhat confident,No,Not sure
1852,Very satisfied,NA,NA,NA
1853,Slightly satisfied,NA,NA,NA
1854,Very satisfied,NA,NA,NA
1855,Neither satisfied nor dissatisfied,NA,NA,NA
1856,Very satisfied,Somewhat confident,Yes,Yes
1857,NA,NA,NA,NA
1858,Neither satisfied nor dissatisfied,Somewhat confident,Yes,Yes
1859,Very satisfied,Very confident,No,Not sure
1860,Slightly dissatisfied,Not at all confident,No,No
1861,Neither satisfied nor dissatisfied,NA,NA,NA
1862,Slightly dissatisfied,NA,NA,NA
1863,Slightly dissatisfied,Somewhat confident,Yes,Yes
1864,Slightly satisfied,Somewhat confident,Yes,Yes
1865,Very satisfied,Somewhat confident,No,Yes
1866,Very satisfied,Not at all confident,Not sure,Not sure
1867,Slightly dissatisfied,Very confident,No,Not sure
1868,Very satisfied,Very confident,No,I am already a manager
1869,Neither satisfied nor dissatisfied,Not at all confident,No,Not sure
1870,Very satisfied,NA,NA,NA
1871,Very satisfied,Very confident,Yes,Yes
1872,Very satisfied,Very confident,No,No
1873,Slightly dissatisfied,NA,NA,NA
1874,NA,Very confident,No,Not sure
1875,NA,NA,NA,NA
1876,NA,NA,NA,NA
1877,Slightly dissatisfied,Somewhat confident,No,Not sure
1878,Slightly satisfied,Very confident,No,Not sure
1879,Very satisfied,Very confident,Not sure,Yes
1880,Neither satisfied nor dissatisfied,Somewhat confident,No,I am already a manager
1881,Slightly satisfied,NA,NA,NA
1882,NA,NA,NA,NA
1883,Slightly dissatisfied,Not at all confident,No,No
1884,Slightly dissatisfied,NA,NA,NA
1885,Very satisfied,Not at all confident,No,Yes
1886,Very dissatisfied,Very confident,No,Not sure
1887,Neither satisfied nor dissatisfied,Not at all confident,Not sure,Not sure
1888,Slightly satisfied,Very confident,Yes,Yes
1889,Neither satisfied nor dissatisfied,Somewhat confident,Yes,Not sure
1890,Very satisfied,Very confident,Yes,Yes
1891,NA,NA,NA,NA
1892,Slightly dissatisfied,Somewhat confident,Yes,Not sure
1893,NA,NA,NA,NA
1894,Slightly satisfied,Very confident,No,No
1895,Slightly dissatisfied,Somewhat confident,Not sure,Not sure
1896,Slightly satisfied,Somewhat confident,No,Not sure
1897,Very satisfied,NA,NA,NA
1898,Slightly satisfied,NA,NA,NA
1899,Very satisfied,Somewhat confident,No,No
1900,NA,NA,NA,NA
1901,NA,NA,NA,NA
1902,Slightly satisfied,Somewhat confident,Yes,I am already a manager
1903,Neither satisfied nor dissatisfied,Somewhat confident,Yes,Not sure
1904,Slightly dissatisfied,Not at all confident,No,No
1905,NA,NA,NA,NA
1906,Slightly dissatisfied,Very confident,No,Not sure
1907,Slightly dissatisfied,Not at all confident,Yes,Yes
1908,Very satisfied,Somewhat confident,No,I am already a manager
1909,Neither satisfied nor dissatisfied,Very confident,Not sure,Not sure
1910,Very satisfied,NA,NA,NA
1911,Slightly satisfied,Very confident,No,No
1912,Very satisfied,Very confident,No,No
1913,Very satisfied,Very confident,No,Not sure
1914,Slightly dissatisfied,Somewhat confident,No,I am already a manager
1915,Very satisfied,Very confident,No,No
1916,Neither satisfied nor dissatisfied,Very confident,No,Yes
1917,Slightly satisfied,Somewhat confident,No,Not sure
1918,Very satisfied,Somewhat confident,No,No
1919,Slightly satisfied,Somewhat confident,No,Yes
1920,Very satisfied,NA,NA,NA
1921,Very satisfied,Very confident,No,Not sure
1922,Very satisfied,Somewhat confident,No,No
